word,weight,pronunciation,verb,verbt,verbi,noun,adj,adv,prep,conj,sentence,looklike,homoionym,antonym
honour,89,/ˈɔnə(r)/,,向……示敬意；信守，执行（承诺）,,光荣；尊敬,,,,,,honor,esteem；integrity；dignity；reputation；grace,dishonour；shame；disgrace；scorn；disparage；disrepute；humiliate
except,446,/ɪkˈsept/,,将……除外,,,,,除……外,,,expect；accept,exclude；apart；besides；addition,include
license,3947,/ˈlaɪsns/,,批准，准许,,许可（证），执照,,,,,,lesson,certify；permit；authorize；accredit；cettificate；registered,unlicensed
major,1005,/ˈmeɪdʒə(r)/,,,主修，专攻,专业（学生）,主要的,,,,,mayor,main；principal；primary；most,minor
objective,5473,/əbˈdʒektɪv/,,,,目标，目的,客观的,,,,,,impartial；neutral；unbiased；factual；just,subjective
concentrate,309,/ˈkɔnsntreɪt/,全神贯注，全力以赴；集中，聚焦；浓缩,,,浓缩物，浓缩液,,,,,,,focus；converge；condense；compress,dilute；disperse；distract
elastic,436,/ɪˈlæstɪk/,,,,松紧带,有弹性的；灵活的,,,,,elliptical；electric,stretchy；flexible；resilient；supple,inflexible；rigid
feature,24159,/ˈfiːtʃə(r)/,以……为特色；由……主演；占重要地位,,,特征，特色；面貌，相貌；特定，专题节目；故事片,,,,,,future；figure,trait；mark；characteristic；face,
crisp,254,/krɪsp/,,,,油炸土豆片,脆的；利落的,,,,,creep,crunchy；brittle；crusty,soggy；chewy；hesitated
crack,214,/kræk/,（使）破裂；（使）发出爆裂声；重击；崩溃，瓦解,,,裂缝，缝隙；爆裂声,,,,,,,break；fracture；sovle；blow；crash；cleft；crevice；excellent,
flourish,1455,/ˈflʌrɪʃ/,繁荣；茂盛；兴旺；健康幸福,,,（为引起注意的）夸张动作；修饰,,,,,,flush,successful；succeed；thrive；grow；decoration；ornament,decline；depression；recession；stagnation
reserve,7270,/rɪˈzɜːv/,,预订，预约；保留；储备,,储备（量）；自然保护区,,,,,,resolve；preserve,keep；retain；protect；preserve,consumption
fuel,5015,/ˈfjuːəl/,给……加燃料,,,燃料,,,,,,few；phew；feel；fill；fail,gas；energy；increase,quell
acclaim,449,/əˈkleɪm/,,向……欢呼，为……喝彩,,称赞；欢迎,,,,,,claim,appaud；cheer；commend；hail；praise；compliment,catcall；hoot；boo；criticize
carry,132,/ˈkærɪ/,运送，搬运；传送，传播,,,运载；射程,,,,,,cherry,take；bear；hold,drop
address,21290,/əˈdres/,,致函，写姓名地址；向……讲话，演说；处理，对付,,地址；致词,,,,,,arrest,speak；deal；location,
slim,651,/slɪm/,,,变苗条,,苗条的；薄的,,,,,slam,thin；slender；slight,fat；obesity；overweight；chubby
warrant,3927,/ˈwɔrənt/,保证；证明……正当,,,授权；许可证,,,,,,walnut,authorization；permit；licence,
rank,194,/ræŋk/,排列；分等,,,等级；军衔,,,,,,rant,place；rate；categorize；classify；level；position,unranked
avail,481,/əˈveɪl/,,有帮助，有益，有用,,效用；利益,,,,,,airview,benefit；advantage；reward；gain,invalid；useless；worthless
block,14915,/blɔk/,,阻塞，拦阻；封锁,,一排房屋，街区；阻塞；大块木料（或石料、金属）,,,,,,blog,neighborhood；clog；jam；blockage,
blaze,2376,/bleɪz/,熊熊燃烧；发（强）光；迸发,,,火焰,,,,,,glaze,fire；combustion；glare；burn,
exterior,1676,/ɪkˈstɪərɪə(r)/,,,,外部，外表,外部的，外表的,,,,,,outward；external；extrinsic,interior；inward；internal；intrinsic
vernacular,569,/vəˈnækjulə(r)/,,,,本国话；方言；土语；（建筑的）民间风格,本国语的,,,,,vascular,dialect,mandarin
vet,945,/vet/,,审查，仔细检查,,兽医,,,,,,vat；vast；vest；veteran,veterinarian；doctor,
condition,1351,/kənˈdɪʃn/,,训练；使适应，使习惯于；对……有重要影响,,状况，状态；环境，形势；条件，前提,,,,,,conduction,stipulation；acclimatize,
incoming,3088,/ˈɪnkʌmɪŋ/,,,,收入,进来的,,,,,,earning；revenue,outgoing；expense；expenditure
acid,44,/ˈæsɪd/,,,,酸,酸的；尖刻的,,,,,asset；aside,sour；tart,sweet
sledge,354,/sledʒ/,,,乘雪橇,雪橇,,,,,,slash,sleigh；luge,
roam,105,/rəum/,随便走，漫游；徜徉；漫谈某事,,,漫步；徘徊,,,,,,rome,wander；rove；stray,settle
hurdle,140,/ˈhɜːdl/,越过障碍,,,障碍；跳栏,,,,,,handle；hurtle,obstacle；block；snag；jump；leap,help；aid；assist
damp,209,/dæmp/,,使潮湿；减弱，抑制；（使）沮丧,,潮湿，湿气,潮湿的,,,,,damn；dump,wet；moist；humid；dank；drench,dry；arid
staff,4148,/stɑːf/,,为……配备人员；任职于,,全体职工，工作人员；棒；（军队的）全体参谋人员,,,,,,stuff,personnel；team；faculty；work,
throughout,1814,/θruːˈaut/,,,,,,,各处；遍及；在整个……期间,,,threw out,through；during；all over；allways,
poll,1528,/pəul/,对……进行民意测验；获得……选票,,,民意测验；政治选举，大选,,,,,,pole；pool,survey；census；referendum,
document,10039,/ˈdɔkjumənt/,,用文件（或文献等）证明；记载,,公文，文件，证件,,,,,,detriment,file；record,
bump,4445,/bʌmp/,碰，撞；颠簸着前进,,,碰撞；隆起物,,,,,,bomb；dump；bum,strike；jolt；lump；swell,dent；recess
spit,1299,/spɪt/,吐唾沫（或痰）；喷出,,,唾液，唾沫,,,,,,spite,yuck；pshaw；saliva,swallow
hive,1363,/haɪv/,（使）入蜂箱；群居,,,蜂房，蜂箱；蜂房内的蜂群；闹市，忙碌之地,,,,,,have；heave,honeycomb；nest,
pledge,4077,/pledʒ/,正式承诺；发誓，保证；抵押，典当,,,誓约，保证；抵押,,,,,,plunge,promise；vow；swear；guarantee；oath,
witness,11166,/ˈwɪtnɪs/,目击；为……作证,,,证据；目击者,,,,,,weakness,see；observe；behold；spectator；bystander,
stereo,3658,/ˈsterɪəu/,,,,立体声（装置）,立体声的,,,,,steroid,hi-fi,mono
screen,5563,/skriːn/,,掩蔽，遮蔽；包庇；筛选；放映（电影），播放（电视节目）,,屏幕，银幕；遮蔽；屏风，帘；筛子,,,,,,scream,monitor；test；instpect；conceal；separate,
fund,11268,/fʌnd/,,为……提供资金，给……拨款,,基金，专款；储备，蕴藏；存款，资金,,,,,,fond；find；font,supply；sponsor；finance；support；back,divestment
schedule,17165,/ˈʃedjuːl/,,安排；列入，收进（清单等）,,时刻表；清单,,,,,,scandal,agenda；timetable；arrange；organize,cancel；improvise；impromptu
referee,225,/ˏrefəˈriː/,裁判；仲裁，调停,,,裁判（员）；仲裁人，调停人；证明人，介绍人,,,,,,refereed；refugee,arbitrator；adjudicate；juge,
detour,160,/ˈdiːtuə(r)/,迂回，绕道,,,弯路，便道,,,,,,detail,bypass；deviation；diversion,straight
jumble,270,/ˈdʒʌmbl/,,混杂，掺杂,,混杂，掺杂；供义卖的旧杂货,,,,,,juggle,mess；junk；muddle；heap；clutter；shuffle；strew,tidy；neat
female,30364,/ˈfiːmeɪl/,,,,女子,女（性）的；雌的,,,,,feminine,woman,male
brand,1874,/brnd/,,铭刻，打烙印于；丑化,,商标；品牌,,,,,,bread；band,trademark；label；imprint,
cheat,750,/tʃiːt/,欺骗；作弊,,,欺骗；骗子,,,,,,cheek；sheet,deceive；trick；swindle；defraud；charlatan,genuine；authentic
flash,2016,/flæʃ/,闪光，闪耀,,,闪烁；闪光灯,,,,,,flesh；fush,glint；sparkle；flaunt；showy；glitter；shimmer；flare,gloom；obscure
sanitary,905,/ˈsænɪtrɪ/,,,,（有卫生设备的）公共厕所,清洁的；保健的，卫生的,,,,,senator；solitary；sanity,hygienic；clean；disinfected,insanitary；dirty
primitive,898,/ˈprɪmɪtɪv/,,,,原始人；原始事物,原始的，上古的；简单的，粗糙的,,,,,premium,crude；rudimentary；archaic,modern
stake,2436,/steɪk/,,以……打赌；拿……冒险,,桩；火刑柱；利害关系；股份；赌金,,,,,,steak；stick,bet；wager；post；investment；gamble,
barge,698,/bɑːdʒ/,猛撞；闯,,,驳船,,,,,,bulge；budget；bargain,rush；charge,
slat,732,/slæt/,,用板条制作,,板条，狭板,,,,,,slight；slot；slut,plank；lath；batten,
cork,64,/kɔːk/,,用软木塞塞住,,软木塞,,,,,,cock,lid；stopper；plug,
reward,6183,/rɪˈwɔːd/,,酬谢；奖励,,奖赏；报酬,,,,,,rewind,prize；award,penalize；punish；fine
native,4562,/ˈneɪtɪv/,,,,本地人，本国人,当地（人）的,,,,,negative,local；resident；aboriginal；indigenous,foreigner；alien
service,3155,/ˈsɜːvɪs/,,维修，保养,,服务，帮助；公共设施，公用事业；维修，保养；行政部门，服务机构,,,,,,surface,work for,
scrap,1546,/skræp/,,废弃；抛弃,,碎屑,,,,,,scrape,abandon；ditch；piece；fragment,reconciliation
rival,2130,/ˈraɪvl/,,与……竞争；与……匹敌，比得上；竞争，对抗,,竞争者，竞争对手；可与匹敌的人（或物）,竞争的，对抗的,,,,,revel；revolve,competitor；opponent；enemy；contest,friend；ally
compact,693,/kəmˈpækt/,,使紧凑，压缩,,,紧密的，结实的；简明的；紧凑的,,,,,combat,dense；solid；compress；squeeze；squash；contract；pact；treaty,uncompress；loose
clutch,2196,/klʌtʃ/,企图抓；抓紧,,,离合器；控制,,,,,,clash,catch；clasp；grab；clench；handbag,
chart,1980,/tʃɑːt/,,记录；用图表表示；制图,,图，图表；海图,,,,,,chat,diagram；graph,
occasion,455,/əˈkeɪʒn/,,引起，惹起,,时刻，时候；场合；重大（或特殊）活动，盛会；时机，机会；起因，理由,,,,,,occupation,time；juncture；accident；chance,
summary,7449,/ˈsʌmərɪ/,,,,摘要，概要,概括的，简略的,,,,,submarine,brief；conclusion,expansion
remove,151,/rɪˈmuːv/,,排除，消除；搬迁，移动；开除，解除,,距离，间距,,,,,,removal；remote,delete；rid；eliminate；eradicate,add
coach,17299,/kəutʃ/,,训练；辅导,,教练；指导；长途汽车,,,,,,couch,trainer；teacher；tutor；instructor；teach；train,
tramp,456,/træmp/,跋涉；踩踏,,,长途跋涉,,,,,,trump,trudge；trek；stamp,
amount,4319,/əˈmaunt/,,,合计,总额,,,,,,account,quantity；sum；total,
crank,1385,/kræŋk/,,用曲柄转动某物,,曲柄，曲轴,,,,,,crack,eccentric；reel,
bunch,835,/bʌntʃ/,集中，挤在一起；使成一束（或一群等）,,,群，伙；束，串，捆,,,,,,bench；brunch,group；cluster；huddle,disperse
scare,1608,/ˈskeə(r)/,吓，使害怕；受惊吓，感到害怕,,,惊恐，恐慌,,,,,,scarce；stare；stair；smear,fright；terrify；petrify,appease；pacify；calm
juvenile,1046,/ˈdʒuːvənaɪl/,,,,未成年人，少年,少年的，少年特有的；幼稚的，不成熟的,,,,,souvenir；seminar,teenager；young；adolescent；immature；childish,adult；mature；grown-up
freight,131,/freɪt/,,运送（货物）；货运,,货物,,,,,,fright,transport；shipping；delivery,
steam,1613,/stiːm/,发出蒸汽；（火车、轮船）行驶；用蒸汽开动,,,（蒸）汽，汽雾,,,,,,scheme；stream,vapor,
valuable,13574,/ˈvæljuəbl/,,,,贵重物品，财宝,贵重的，有价值的,,,,,variable；vulnerable,precious；costly；expensive；priceless；useful,worthless；useless
dash,2864,/dæʃ/,飞奔，猛冲；猛掷；使破灭，使沮丧,,,飞奔，猛冲；破折号；精力，干劲,,,,,,Dutch,rush；break；knock；throw；surge；charge；hurl；fling,
campaign,5823,/kæmˈpeɪn/,,,参加活动；作战,战役；活动,,,,,,camping,war；battle；election；movement；promotion,
spot,12187,/spɔt/,,认出，发现；看见，注意到,,地点，处所；斑点，污点；少量,,,,,,sport；spat,stain；find；detect；recognize；identify,
subsidiary,437,/səbˈsɪdɪərɪ/,,,,子公司；附属机构；支流,次要的；辅助的，附设的,,,,,subsidize,subordinate；subcompany；pertain,parent company
pattern,295,/ˈpætn/,,构成图案；使形成，促成,,样式；模式,,,,,,patent,design；figure,
ration,641,/ˈræʃn/,,配给，定量供应,,配给量，定量；给养，口粮,,,,,,Russian；radiation,limit；restrict；control；regulation；curb；quota,unlimited
snap,1022,/snæp/,咔嚓折断，啪地绷断；（啪的一声）打开（或关上）；咬；厉声说话，怒声责斥,,,咔嚓声,突然的，匆忙的,,,,,snub；slap；snack,break；crack；shatter；sudden,
express,1141,/ɪkˈspres/,,表达，表示,,快车，快运，快递,特快的，快速的；明确的,,,,,suppress,say；speak；state；articulate；courier；fast,slow
register,4819,/ˈredʒɪstə(r)/,注册，登记,,,注册，登记；登记表,,,,,,roster,enter；list；enrol；join,unregistered
rot,916,/rɔt/,（使）腐烂,,,腐烂,,,,,,rod；rat,decay；decompose；corruption,fresh
divide,3129,/dɪˈvaɪd/,分开，分隔；分配，分享；除（以）,,,分歧，差异；分界线，分水岭,,,,,,devoid,separate；split；watershed,join；unite；converge
chip,1357,/tʃɪp/,削（或凿）下（屑片或碎片）,,,碎片；芯片；瑕疵,,,,,,cheap,piece；crumb；flaw；fragment,
polish,1845,/ˈpɔlɪʃ/,磨光，擦亮；使优美，润饰,,,擦光剂，上光蜡,,,,,,punish,gloss；shine；refine；burnish,tarnish
wonder,135,/ˈwʌndə(r)/,诧异，奇怪；纳闷，想知道,,,惊奇，惊异；奇迹，奇事,,,,,,wander；wound；wand,surprise；curious；speculate；conjecture,
influence,23145,/ˈɪnfluəns/,,影响,,影响力；产生影响力的人,,,,,,influx；fluency,affect；effect；induce；impact,
splint,96,/splɪnt/,,用夹板夹,,细木梗；[医]（用于固定受伤肢体的）夹板,,,,,,split；sprint,bandage；strap；plate；clam,
foam,232,/fəum/,,,起泡沫,泡沫；泡沫材料,,,,,,form,bubble；froth,
format,795,/ˈfɔːmt/,,使格式化,,安排，计划；版式；格式,,,,,,ferment,arrange；configure；organize；setup；layout,
complex,10311,/ˈkɔmpleks/,,,,综合体，集合体；建筑群；情结,合成的，综合的；复杂的，难懂的,,,,,complain,complicate；difficult；obscure,simple
prey,697,/preɪ/,,,捕食；折磨，使烦恼；掠夺,猎物，捕获物；牺牲品，战利品,,,,,,pray,quarry；victim,predator
catalogue,546,/ˈkætəlɔg/,,编目录；记载,,目录；系列,,,,,,catalog,directory；list,
screw,2995,/skruː/,用螺钉固定,,,螺丝（钉）,,,,,,crew,twist；rotate；bolt；coil,unscrew
tutor,685,/ˈtjuːtə(r)/,（给……）当家庭教师,,,导师；家庭教师,,,,,,tumor,mentor；Guru；teacher；educator；instructor,
thunder,1076,/ˈθʌndə(r)/,打雷；轰隆响,,,雷；雷声,,,,,,sounder,rumble,lightning
account,20759,/əˈkaunt/,说明，解释；（在数量、比例方面）占；导致,,,账，账户；叙述，说明,,,,,,accountant；amount,report；record；description,
venture,4823,/ˈventʃə(r)/,敢于去；拿……冒险，冒……的险,,,风险投资，（商业等的）风险项目,,,,,,vender,risk；hazard,
comment,14115,/ˈkɔment/,注释，评论,,,注释，评论，意见,,,,,,common；commitment,remark；review；note；criticise,
flame,388,/fleɪm/,发火焰，燃烧,,,火焰；强烈的感情,,,,,,frame,fire；burn；blaze；glow；flare,
stammer,98,/ˈstæmə(r)/,口吃,,,结巴，口吃,,,,,,stomach,stumble；stutter；falter；impediment,fluent；smooth；eloquent；articulate
swamp,1204,/swɔmp/,,淹没；使应接不暇,,沼泽,,,,,,swap；swarm,marsh；wetland；bog；,drain；aridity
favour,164,/ˈfeɪvə(r)/,,赞同；较喜欢，偏袒；有利于,,帮忙；偏爱；赞同；恩惠,,,,,,favorite；fever,prefer；choice；fond,reject；dislike；disgust；aversion；detest
grip,5149,/grɪp/,握紧，抓牢；吸引住……的注意力（或想象力等）,,,紧握，抓牢；掌握，控制,,,,,,grape；gripe,grasp；hold；catch；seize,release；loosen
opposite,906,/ˈɔpəzɪt/,,,,对立面，对立物,对面的，对立的；相反的，相对的,,在……对面,,,apposite,couterpart；conflict；converse；inverse,
harness,1697,/ˈhɑːnɪs/,,控制，利用；上马具,,马具,,,,,,harvest,horse gear,
bent,118,/bent/,,,,爱好，天赋,被弄弯的，弯曲的,,,,,bend,twist；curve；bow,straight；honest
stitch,1703,/stɪtʃ/,,缝，缝合,,一针，针脚,,,,,,ditch,sew,
manual,3061,/ˋmænjʊəl/,,,,手册，指南,手的，手工的，体力的,,,,,menu,guide；handbook；instruction；hand driven,auto；automatic
scheme,497,/skiːm/,计划，策划；密谋,,,计划，方案；体系，体制；阴谋,,,,,,skim,plot；conspire；intrigue；plan；conspiracy,
overwork,107,/ˏəuvəˈwɜːk/,使劳累过分；对……使用过度；滥用（词等）,,,过重的工作；工作过度,,,,,,,burn；overdo,out of work；unemployment
menace,335,/ˈmenəs/,,威胁到，危及,,威胁；危险的人（或物）,,,,,,minus,threat；threaten；danger；endanger；frighten；intimidate,protect；guard；defend；ward
position,6822,/pəˈzɪʃn/,,安放，安置,,位置，方位；职位，职务；姿势，姿态；见解，立场,,,,,,petition；possession,location；site；posture；stance；rank；place；job,
scratch,3649,/skrætʃ/,抓，掻；划破，划损,,,划伤，抓痕,,,,,,stretch；sketch,itch；cut；scrape；graze；score；nick,
veil,690,/veɪl/,,蒙着面纱；掩饰,,面纱；遮蔽物,,,,,,vale；whale,mask；blanket；cover；conceal,reveal；expose
parallel,1825,/ˈpærəlel/,,与……相似；比得上,,可相比拟的事物（或人），相似处；纬线,平行的；类似的，相对应的；并行的,,,,,parole,counterpart；simultaneous；equal,unparalleled；intersection
institute,2401,/ˈɪnstɪtjuːt/,,建立，设立,,研究所，学院,,,,,,constitute,organization；institution；establishment；foundation；establish；found,
serial,736,/ˈsɪərɪəl/,,,,连续剧,连续的；顺序排列的,,,,,cereal；serious,soap；series；show；continuous；sequential；successive；consecutive,discontinuous
however,151837,/hauˈevə(r)/,,,,,,无论如何，不管怎样；可是；仍然,,不管用什么方法，然而,,whoever,but；though；while；yet；nevertheless,
retail,1165,/ˈriːteɪl/,零售，以……价格销售,,,零售,,,,,,retain,sell；sale；vend；trade,
remark,5674,/rɪˈmɑːk/,评论，谈论；注意到，察觉,,,评语，评论；注释,,,,,,,review；comment,
filter,6659,/ˈfɪltə(r)/,过滤；（消息等）走漏,,,过滤器,,,,,,,leach；percolate；separate；sort；screen,mix；mingle；blend
effect,2850,/ɪˈfekt/,,使产生，招致；实现,,作用，影响；结果；效果,,,,,,affect,influence；result；outcome,
stem,7221,/stem/,,止住，抑止，堵住，阻止,,茎；（树）干；词干,,,,,,stamp,stalk；trunk；twig；branch；stop；curtail；halt,
label,8561,/ˈleɪbl/,,贴标签于,,标签，标记；称号；绰号，外号,,,,,,liberal,tag；mark；stamp,
guarantee,5567,/ˏgærənˈtiː/,保证；允诺,,,保证；担保物,,,,,,guaranted,promise；pledge；secure；warrant；assure；ensure,
wax,1342,/wæks/,给……上蜡，给……打蜡；（月亮）渐圆，渐满,,,蜡；蜂蜡,,,,,,wreck,candle,
check,20452,/tʃek/,检查，核对；阻止，制止,,,检查，核对；制止，抵制；支票，帐单,,,,,,Czech；cheque,test；ensure；bill；inspection,unchecked
blend,3711,/blend/,（使）混合，（使）混杂,,,混合物；混合，交融,,,,,,bland；bend,mix；mixture；mingle,separate；split；apart
course,827,/kɔːs/,追猎；运行；流动,,,过程，进程；路线，方针；跑道；课程,,,,,,curse；cause；coarse,lesson；direction；route；dish；process；pitch,
match,13085,/mætʃ/,匹配，相称,,,火柴；比赛，竞赛；对手，敌手,,,,,,much；mash,competition；game；contest；adapt；compatible,clash；differ；incompatible
pedal,1792,/ˈpedl/,骑车；踩踏板,,,踏板,,,,,,peddle；paddle；puddle；pebble,lever；treadle；footboard；ride,
resident,3158,/ˈrezɪdənt/,,,,居民，住户,常驻的，居住的,,,,,resonant；relevant；resistant,inhabitant；dweller；occupant；tenant；native；local；indigenous；aboriginal,foreigner；alien；visitor
gorge,257,/gɔːdʒ/,狼吞虎咽，塞饱,,,山峡，峡谷,,,,,,George,valley；canyon；devour；guzzle；overeat,nibble；diet
seal,7087,/siːl/,,封，密封,,封铅，封条；印，图章；海豹,,,,,,ceiling；sale,stamp；enclose,
besides,11389,/bɪˈsaɪdz/,,,,,,而且,除……之外,,,decide,also；above；in addition,
exclusive,8098,/ɪkˈskluːsɪv/,,,,独家新闻,奢华的；独有的；排他的,,,,,explosive,unique,inclusive
release,16929,/rɪˈliːs/,,释放，解放；发表，发行,,释放；发表，发布；排放，泄露,,,,,,realise,free；relief；liberate；loosen；publish；issue,hold；withhold；conceal
original,1422,/əˈrɪdʒənl/,,,,原物，原作,最初的，原始的；新颖的，有独创性的,,,,,orange,first；initial；previous；genuine,copy；last；unoriginal；plagiarism；steal
vertical,203,/ˈvɜːtɪkl/,,,,垂直线,垂直的；竖式的,,,,,versatile；verdict；volatile,upright；perpendicular；plumb,horizontal
flat,954,/flæt/,,,,单元住宅,平的；（价格）固定的,,,,,flight,suite；studio；penthhouse；apartment；surface；even,uneven；deflated
static,309,/ˈstætɪk/,,,,静电；[-s]静力学,静止的，静态的；呆板的,,,,,statistic,still；motionless；stationary；inert；stagnant,moving；dynamic；active
scale,3400,/skeɪl/,,攀登，爬越,,规模，大小；天平，磅秤；刻度，标度；（鱼等的）鳞；（音乐）音阶；等级，级别；比例（尺）,,,,,,skill；stale,mark；size；clibration,
overseas,3441,/ˏəuvəˈsiːz/,,,,,在海外的,在海外,,,,oversee,abroad；foreign,domestic
fracture,750,/ˈfræktʃə(r)/,（使）断裂,,,断裂，折断；骨折,,,,,,fraction,break；crack；fissure；rift；rupture；shatter；split,repair；mend；heal；recover
dock,1328,/dɔk/,（使）靠码头,,,码头,,,,,,duck；doc,berth；moor；park；anchor,leave；depart；launch
premium,2214,/ˈpriːmɪəm/,,,,（投保人向保险公司支付的）保险金；额外费用，加付款；奖品，赠品；额外津贴,高级的，优质的；售价高的,,,,,premiere；premier,high-end；high-grade,low-end；low-grade
material,907,/məˈtɪərɪəl/,,,,材料；素材,物质的；重要的,,,,,meteoroid,stuff；matter；data；documents,
chill,134,/tʃɪl/,（使）变冷，冷藏,,,寒意；寒战；寒心,寒冷的；扫兴的,,,,,trail；child,cool；cold；freeze；icy；fear,warm；hot
multinational,356,/ˏmʌltɪˈnæʃnəl/,,,,跨国公司,多国的，多民族的；跨国公司的,,,,,,international；global；worldwide,local
crash,9865,/kræʃ/,碰撞；冲，闯；倒下，坠落；发出撞击（或爆裂）声；垮台，破产,,,碰撞；坠落，坠毁；破裂声，撞击声,速成的,,,,,crush,collide；collapse；iimpact；bump；shock；strike；collision,
epidemic,79,/ˏepɪˈdemɪk/,,,,流行病,流行性的,,,,,endemic,plague；outbreak；contagion；widespread；prevalent；rampant,
mock,2029,/mɔk/,嘲笑，嘲弄,,,嘲弄；模仿，仿制品,假的；模拟的,,,,,mark；muck,deride；simulated；imitation；mimic；parody；impersonate,
magic,8143,/ˈmædʒɪk/,,,,魔法，法术；魅力，魔力,有魔力的，神奇的,,,,,metric；medic,sorcery；conjure；trick,
slip,3955,/slɪp/,滑到，失足；减退；摆脱，闪开；塞入,,,差错，疏漏；滑到；纸片,,,,,,sleep,slide；glide；fall；mistake；omission,
volunteer,7426,/ˏvɔlənˈtɪə(r)/,自愿做，无偿做,,,志愿的,志愿的，义务的，无偿的,,,,,voluntary,initiative；offer；undertake,involuntary
terminal,2025,/ˈtɜːmɪnl/,,,,终点，终端；终点站，航站楼,末端的,,,,,terminate,fatal；incurable；lethal；station；airport,start；curable
structure,2728,/ˈstrʌktʃə(r)/,,系统安排；精心组织,,结构；构造；建筑物,,,,,,sculpture,construct；organize；configure；arrange；arrangement；organization；construction,
blast,4884,/blɑːst/,爆破，炸毁,,,一阵（大风）；冲击,,,,,,bastard,blow up；explode；detonate；explosion；detonation；flash；gust,
preface,984,/ˈprefɪs/,,为……写序言；以……为开端,,序言，引言,,,,,,preference,prefix；precede；begin；start；introduction；prologue；prelude,end；epilogue
profile,1632,/ˈprəufaɪl/,,扼要介绍；写传略（或简介）,,面部的侧影，侧面轮廓；传略，人物简介,,,,,,profit,outline；summarize；contour,
spice,788,/spaɪs/,,使增添趣味；往……加香料,,香料，调味品,,,,,,space,season；flavour；flavor；condiment；fragrance,blandness
bore,1024,/bɔː(r)/,使厌烦；钻孔,,,令人讨厌的人（或事）,,,,,,boar；born,drill；tedious；weary,cute；interest
plush,245,/plʌʃ/,,,,长毛绒,豪华的，舒适的,,,,,plus；push,lush；luxurious；luxury；expensive；lavish,primitive；crude；humble；shabby；simple
initial,143,/ɪˈnɪʃl/,,,,词首大写字母,最初的，开始的；词首的,,,,,issue,first；original；beginning,final；end；last
charter,722,/tʃɑːtə(r)/,,包租（飞机，船等）；特许设立，给……发许可证，给予特权,,纲领，宣言；宪章；包租,,,,,,chapter；chatter；charger,contract；licence；commission；rent；lease,
draft,6744,/drɑːft/,,起草，草拟；选派，抽调；征募，征召……入伍,,草稿，草案；汇票；征兵，服役；通风，气流,,,,,,drift；craft,sketch；compose；write；draw,
stream,3367,/striːm/,流出,,,溪流；一股,,,,,,steam,flow；gush；spill；watercouse；brook；river；live,
sleek,63,/sliːk/,,使（毛发等）光滑发亮,,,（毛发等）光滑而有光泽的；时髦的；豪华的,,,,,slick；sleet；sneak,smooth；shiny；glossy；silky,unsmooth；rough；coarse；harsh；rude；crude；rugged
derelict,76,/ˈderəlɪkt/,,,,遗弃物；无家可归者，社会弃儿,被抛弃的；衰退的，破败的,,,,,dialect,ruin；neglect；obsolete,
